Diet_type,Recipe_name,Cuisine_type,Protein(g)
paleo,Swiss Paleoâ€™s Homemade Italian & Chorizo Sausage,italian,1273.61
dash,Salmon Mousse,nordic,1239.47
dash,Homemade Turkey Alphabet Soup,american,1190.35
paleo,Turkey Soup,american,1142.58
keto,Sara Louise's Keto Smoked Holiday Turkey,american,1092.0
dash,Barbecue Chicken Legs,mediterranean,1017.25
mediterranean,Fava Bean Salad with Mountain Ham and Mint,american,970.31
dash,12th Man Hot Wings,american,807.03
keto,"Mayo Free Deviled Eggs (Paleo, Whole30 + Keto)",italian,766.99
keto,"Low Carb Beef and Cheddar Cauliflower Bake, THM S meal, Keto too",british,710.81
keto,"Orange and Five-Spice Roasted Chicken Legs | Keto, Paleo",mediterranean,677.22
paleo,"Orange and Five-Spice Roasted Chicken Legs | Keto, Paleo",mediterranean,677.22
keto,"Low Carb Salmon Cakes (Keto, Grain Free)",nordic,656.95
mediterranean,Poached Salt Cod with Vegetables and Garlic Mayonnaise,mediterranean,656.65
mediterranean,Mediterranean Pizza,italian,628.29
mediterranean,Orange and Cumin Leg of Lamb with Roasted Tomatoes and Garlic Recipe,mediterranean,607.03
paleo,Vietnamese Pho Pressure Cooker (Noodle Soup),south east asian,602.91
mediterranean,Meatballs Braised with Kale,mediterranean,531.48
dash,Jazzed Up Turkey Tetrazzini,american,517.47
paleo,Paleo Slow Cooker Honey Garlic Chicken and Vegetables recipes,mediterranean,501.65
vegan,Tangy Teriyaki Salmon,nordic,431.1
vegan,Mini nut roasts with candied carrots,american,421.72
vegan,Vegan Pinto Bean Chili,american,381.55
vegan,Vegan Chili and Cornbread Casserole,american,319.54
vegan,Kentucky fried seitan,mediterranean,317.43
